annee,City,State,Region,CA,part_pct,prog,Marge,prog_marge,marge_pct,diff_mag,prog_mag
2017,Huntsville,Alabama,South,845.44,0.34,-47.79,385.62,-37.21,45.61,0,0.0
2017,Montgomery,Alabama,South,10.16,0.0,-98.99,3.45,-98.79,33.96,0,0.0
2017,,Alabama,South,1828.25,0.74,-76.11,496.38,-82.52,27.15,1,16.67
2017,Hoover,Alabama,South,525.85,0.21,,18.72,,3.56,,
2014,Scottsdale,Arizona,West,402.07,0.14,,-279.2,,-69.44,,
2014,Tempe,Arizona,West,677.54,0.23,,139.72,,20.62,,
2014,Avondale,Arizona,West,892.57,0.3,,70.5,,7.9,,
2014,Glendale,Arizona,West,331.75,0.11,,27.61,,8.32,,
2014,Gilbert,Arizona,West,1280.99,0.43,,174.29,,13.61,,
2014,Tucson,Arizona,West,2769.15,0.94,,177.27,,6.4,,
2014,Phoenix,Arizona,West,1716.75,0.58,,-1154.47,,-67.25,,
2014,,Arizona,West,8295.24,2.8,,-903.2,,-10.89,,
2014,Mesa,Arizona,West,100.7,0.03,,-1.26,,-1.25,,
2014,Chandler,Arizona,West,123.71,0.04,,-57.65,,-46.6,,
2015,,Arizona,West,9611.21,3.43,15.86,236.38,-126.17,2.46,1,11.11
2015,Gilbert,Arizona,West,2008.4,0.72,56.78,106.08,-39.14,5.28,0,0.0
2015,Tucson,Arizona,West,1030.98,0.37,-62.77,171.13,-3.46,16.6,0,0.0
2015,Phoenix,Arizona,West,3126.73,1.12,82.13,418.03,-136.21,13.37,0,0.0
2015,Scottsdale,Arizona,West,11.48,0.0,-97.14,-1.04,-99.63,-9.06,0,0.0
2015,Bullhead City,Arizona,West,22.29,0.01,,6.72,,30.15,,
2015,Glendale,Arizona,West,277.1,0.1,-16.47,14.12,-48.86,5.1,0,0.0
2015,Peoria,Arizona,West,604.75,0.22,,-12.75,,-2.11,,
2015,Mesa,Arizona,West,2471.88,0.88,2354.7,-469.35,37150.0,-18.99,0,0.0
2015,Tempe,Arizona,West,3.37,0.0,-99.5,-2.24,-101.6,-66.47,0,0.0
2015,Avondale,Arizona,West,54.24,0.02,-93.92,5.67,-91.96,10.45,0,0.0
2016,Tucson,Arizona,West,852.49,0.23,-17.31,-192.61,-212.55,-22.59,0,0.0
2016,Phoenix,Arizona,West,2835.58,0.76,-9.31,-1476.36,-453.17,-52.07,0,0.0
2016,Glendale,Arizona,West,1124.71,0.3,305.89,112.97,700.07,10.04,0,0.0
2016,Sierra Vista,Arizona,West,76.07,0.02,,16.83,,22.12,,
2016,,Arizona,West,6242.02,1.66,-35.05,-1485.11,-728.27,-23.79,-2,-20.0
2016,Yuma,Arizona,West,240.88,0.06,,14.0,,5.81,,
2016,Tempe,Arizona,West,307.92,0.08,9037.09,-34.64,1446.43,-11.25,0,0.0
2016,Mesa,Arizona,West,59.39,0.02,-97.6,-4.48,-99.05,-7.54,0,0.0
2016,Scottsdale,Arizona,West,744.98,0.2,6389.37,79.18,-7713.46,10.63,0,0.0
2017,Gilbert,Arizona,West,882.99,0.18,-56.04,-142.12,-233.97,-16.1,0,0.0
2017,Mesa,Arizona,West,1405.77,0.28,2267.01,-84.14,1778.12,-5.99,0,0.0
2017,Tempe,Arizona,West,81.47,0.02,-73.54,-7.38,-78.7,-9.06,0,0.0
2017,,Arizona,West,11133.54,2.23,78.36,-1276.0,-14.08,-11.46,2,25.0
2017,Chandler,Arizona,West,953.04,0.19,670.38,139.11,-341.3,14.6,0,0.0
2017,Scottsdale,Arizona,West,307.78,0.06,-58.69,111.57,40.91,36.25,0,0.0
2017,Yuma,Arizona,West,599.99,0.12,149.08,-479.99,-3528.5,-80.0,0,0.0
2017,Phoenix,Arizona,West,3321.2,0.66,17.13,-578.09,-60.84,-17.41,0,0.0
2017,Tucson,Arizona,West,1660.39,0.33,94.77,-220.76,14.62,-13.3,0,0.0
2017,Peoria,Arizona,West,736.6,0.15,21.8,-42.36,232.24,-5.75,0,0.0
2017,Glendale,Arizona,West,1184.31,0.24,5.3,28.15,-75.08,2.38,0,0.0
2014,Little Rock,Arkansas,South,1388.92,0.67,,426.14,,30.68,,
2014,Texarkana,Arkansas,South,605.34,0.29,,145.28,,24.0,,
2014,Fayetteville,Arkansas,South,1810.21,0.87,,850.53,,46.99,,
2014,Jonesboro,Arkansas,South,2498.22,1.2,,609.73,,24.41,,
2014,,Arkansas,South,6302.69,3.03,,2031.69,,32.24,,
2015,Hot Springs,Arkansas,South,29.99,0.02,,3.0,,10.0,,
2015,Fayetteville,Arkansas,South,111.66,0.08,-93.83,54.71,-93.57,49.0,0,0.0
2015,,Arkansas,South,443.61,0.31,-92.96,103.01,-94.93,23.22,-1,-25.0
2015,Conway,Arkansas,South,301.96,0.21,,45.29,,15.0,,
2016,Little Rock,Arkansas,South,819.39,0.44,-41.01,348.35,-18.25,42.51,0,0.0
2016,Jonesboro,Arkansas,South,299.48,0.16,-88.01,132.95,-78.2,44.39,0,0.0
2016,Hot Springs,Arkansas,South,215.84,0.12,619.71,59.08,1869.33,27.37,0,0.0
2016,Fayetteville,Arkansas,South,889.48,0.48,696.6,374.2,583.97,42.07,0,0.0
2016,,Arkansas,South,2224.19,1.19,401.38,914.59,787.87,41.12,1,33.33
2017,Pine Bluff,Arkansas,South,212.91,0.09,,70.2,,32.97,,
2017,,Arkansas,South,2707.64,1.1,21.74,959.4,4.9,35.43,3,75.0
2017,Fayetteville,Arkansas,South,931.46,0.38,4.72,412.49,10.23,44.28,0,0.0
2017,Springdale,Arkansas,South,4.3,0.0,,1.42,,33.02,,
2017,Little Rock,Arkansas,South,1352.04,0.55,65.01,380.17,9.13,28.12,0,0.0
2017,Texarkana,Arkansas,South,48.9,0.02,-91.92,18.09,-87.55,36.99,0,0.0
2017,Jonesboro,Arkansas,South,117.62,0.05,-60.73,58.43,-56.05,49.68,0,0.0
2017,Rogers,Arkansas,South,40.41,0.02,,18.59,,46.0,,
2014,Long Beach,California,West,10.1,0.0,,4.37,,43.27,,
2014,Pasadena,California,West,465.49,0.16,,-56.74,,-12.19,,
2014,Lodi,California,West,39.68,0.01,,16.27,,41.0,,
2014,Roseville,California,West,7.98,0.0,,2.07,,25.94,,
2014,Redding,California,West,333.58,0.11,,25.02,,7.5,,
2014,Mission Viejo,California,West,290.67,0.1,,3.42,,1.18,,
2014,Riverside,California,West,602.43,0.2,,185.39,,30.77,,
2014,San Francisco,California,West,30983.51,10.48,,4293.07,,13.86,,
2014,Los Angeles,California,West,28882.7,9.77,,4096.55,,14.18,,
2014,San Jose,California,West,2067.81,0.7,,260.25,,12.59,,
2014,Moreno Valley,California,West,126.79,0.04,,43.7,,34.47,,
2014,Manteca,California,West,137.63,0.05,,21.25,,15.44,,
2014,Fresno,California,West,4744.08,1.6,,282.7,,5.96,,
2014,Rancho Cucamonga,California,West,34.27,0.01,,11.14,,32.51,,
2014,Chula Vista,California,West,182.94,0.06,,85.98,,47.0,,
2014,Santa Clara,California,West,131.84,0.04,,48.52,,36.8,,
2014,Brentwood,California,West,780.29,0.26,,196.27,,25.15,,
2014,Concord,California,West,672.43,0.23,,122.51,,18.22,,
2014,Redondo Beach,California,West,1847.68,0.62,,124.58,,6.74,,
2014,Oakland,California,West,180.69,0.06,,62.06,,34.35,,
2014,Oxnard,California,West,127.95,0.04,,21.75,,17.0,,
2014,,California,West,91303.53,30.87,,12637.95,,13.84,,
2014,Sacramento,California,West,1524.63,0.52,,52.09,,3.42,,
2014,Pomona,California,West,118.73,0.04,,43.99,,37.05,,
2014,El Cajon,California,West,478.48,0.16,,47.85,,10.0,,
2014,San Gabriel,California,West,2061.01,0.7,,290.9,,14.11,,
2014,Burbank,California,West,3247.16,1.1,,764.53,,23.54,,
2014,Lakewood,California,West,321.55,0.11,,20.1,,6.25,,
2014,Vacaville,California,West,423.28,0.14,,110.05,,26.0,,
2014,Escondido,California,West,71.19,0.02,,21.68,,30.45,,
2014,Anaheim,California,West,1049.97,0.36,,43.26,,4.12,,
2014,Vallejo,California,West,156.79,0.05,,58.23,,37.14,,
2014,San Diego,California,West,9181.05,3.1,,1326.72,,14.45,,
2014,Huntington Beach,California,West,19.16,0.01,,8.4,,43.84,,
2015,Bakersfield,California,West,214.62,0.08,,-7.33,,-3.42,,
2015,Salinas,California,West,481.7,0.17,,216.29,,44.9,,
2015,Pasadena,California,West,842.28,0.3,80.94,3.12,-105.5,0.37,0,0.0
2015,Roseville,California,West,21.92,0.01,174.69,10.5,407.25,47.9,0,0.0
2015,Santa Ana,California,West,56.3,0.02,,15.76,,27.99,,
2015,Chula Vista,California,West,665.88,0.24,263.99,106.54,23.91,16.0,0,0.0
2015,Chico,California,West,1297.07,0.46,,219.17,,16.9,,
2015,Long Beach,California,West,1021.45,0.36,10013.37,133.86,2963.16,13.1,0,0.0
2015,Redlands,California,West,2766.44,0.99,,409.76,,14.81,,
2015,Thousand Oaks,California,West,48.73,0.02,,16.26,,33.37,,
2015,Lake Elsinore,California,West,283.92,0.1,,17.75,,6.25,,
2015,Camarillo,California,West,1452.79,0.52,,151.58,,10.43,,
2015,Santa Barbara,California,West,402.15,0.14,,-35.03,,-8.71,,
2015,Los Angeles,California,West,41694.2,14.89,44.36,7169.27,75.01,17.19,0,0.0
2015,Temecula,California,West,808.67,0.29,,101.89,,12.6,,
2015,San Diego,California,West,14383.43,5.14,56.66,2048.16,54.38,14.24,0,0.0
2015,San Bernardino,California,West,979.3,0.35,,69.98,,7.15,,
2015,Anaheim,California,West,1336.35,0.48,27.28,272.58,530.1,20.4,0,0.0
2015,Lakewood,California,West,41.98,0.01,-86.94,15.28,-23.98,36.4,0,0.0
2015,Pomona,California,West,942.35,0.34,693.69,-17.34,-139.42,-1.84,0,0.0
2015,Rancho Cucamonga,California,West,5.76,0.0,-83.19,2.65,-76.21,46.01,0,0.0
2015,Riverside,California,West,160.4,0.06,-73.37,47.41,-74.43,29.56,0,0.0
2015,Oceanside,California,West,204.6,0.07,,53.2,,26.0,,
2015,San Jose,California,West,785.51,0.28,-62.01,216.38,-16.86,27.55,0,0.0
2015,Yucaipa,California,West,50.8,0.02,,13.21,,26.0,,
2015,Brentwood,California,West,79.9,0.03,-89.76,35.16,-82.09,44.01,0,0.0
2015,Oakland,California,West,1273.67,0.45,604.89,-6.41,-110.33,-0.5,0,0.0
2015,Sacramento,California,West,73.67,0.03,-95.17,23.8,-54.31,32.31,0,0.0
2015,Visalia,California,West,7.92,0.0,,3.48,,43.94,,
2015,Lancaster,California,West,359.83,0.13,,38.49,,10.7,,
2015,Moreno Valley,California,West,251.0,0.09,97.97,96.77,121.44,38.55,0,0.0
2015,La Quinta,California,West,46.32,0.02,,18.06,,38.99,,
2015,Murrieta,California,West,484.65,0.17,,92.08,,19.0,,
2015,Oxnard,California,West,131.48,0.05,2.76,37.26,71.31,28.34,0,0.0
2015,San Francisco,California,West,14642.16,5.23,-52.74,2738.79,-36.2,18.7,0,0.0
2015,Santa Maria,California,West,115.44,0.04,,30.01,,26.0,,
2015,Costa Mesa,California,West,29.22,0.01,,12.86,,44.01,,
2015,,California,West,88443.84,31.59,-3.13,14371.26,13.72,16.25,4,12.12
2016,Bakersfield,California,West,87.27,0.02,-59.34,32.36,-541.47,37.08,0,0.0
2016,Hesperia,California,West,776.47,0.21,,136.74,,17.61,,
2016,Pasadena,California,West,1048.76,0.28,24.51,264.62,8381.41,25.23,0,0.0
2016,Woodland,California,West,239.98,0.06,,24.0,,10.0,,
2016,Redlands,California,West,124.58,0.03,-95.5,44.4,-89.16,35.64,0,0.0
2016,Long Beach,California,West,1139.37,0.3,11.54,287.67,114.9,25.25,0,0.0
2016,Lake Forest,California,West,1027.68,0.27,,155.74,,15.15,,
2016,Chula Vista,California,West,192.8,0.05,-71.05,55.91,-47.52,29.0,0,0.0
2016,Stockton,California,West,489.16,0.13,,191.52,,39.15,,
2016,Redondo Beach,California,West,112.12,0.03,-93.93,51.85,-58.38,46.25,0,0.0
2016,Los Angeles,California,West,56398.75,15.04,35.27,9115.64,27.15,16.16,0,0.0
2016,Santa Ana,California,West,1285.35,0.34,2183.04,74.05,369.86,5.76,0,0.0
2016,Oxnard,California,West,1215.72,0.32,824.64,258.41,593.53,21.26,0,0.0
2016,Mission Viejo,California,West,128.67,0.03,-55.73,49.14,1336.84,38.19,0,0.0
2016,Roseville,California,West,687.57,0.18,3036.72,299.18,2749.33,43.51,0,0.0
2016,Redwood City,California,West,41.9,0.01,,14.14,,33.75,,
2016,Santa Barbara,California,West,3528.49,0.94,777.41,391.76,-1218.36,11.1,0,0.0
2016,Lancaster,California,West,100.16,0.03,-72.16,35.06,-8.91,35.0,0,0.0
2016,Morgan Hill,California,West,545.01,0.15,,7.85,,1.44,,
2016,Salinas,California,West,44.04,0.01,-90.86,20.0,-90.75,45.41,0,0.0
2016,Costa Mesa,California,West,686.24,0.18,2248.53,163.2,1169.05,23.78,0,0.0
2016,Huntington Beach,California,West,12.78,0.0,-33.3,5.75,-31.55,44.99,0,0.0
2016,Santa Clara,California,West,79.79,0.02,-39.48,22.73,-53.15,28.49,0,0.0
2016,San Clemente,California,West,90.06,0.02,,42.54,,47.24,,
2016,Fresno,California,West,848.54,0.23,-82.11,282.0,-0.25,33.23,0,0.0
2016,Laguna Niguel,California,West,12.96,0.0,,6.35,,49.0,,
2016,Montebello,California,West,27.88,0.01,,3.9,,13.99,,
2016,Vallejo,California,West,1064.62,0.28,579.01,277.8,377.07,26.09,0,0.0
2016,Davis,California,West,32.4,0.01,,15.55,,47.99,,
2016,San Diego,California,West,18321.0,4.89,27.38,2241.87,9.46,12.24,0,0.0
2016,Anaheim,California,West,3533.79,0.94,164.44,375.9,37.9,10.64,0,0.0
2016,Antioch,California,West,19.44,0.01,,9.33,,47.99,,
2016,Lakewood,California,West,257.5,0.07,513.39,24.24,58.64,9.41,0,0.0
2016,Moreno Valley,California,West,884.68,0.24,252.46,213.16,120.27,24.09,0,0.0
2016,Torrance,California,West,1120.37,0.3,,44.0,,3.93,,
2016,El Cajon,California,West,387.14,0.1,-19.09,4.84,-89.89,1.25,0,0.0
2016,Encinitas,California,West,305.5,0.08,,9.82,,3.21,,
2016,San Luis Obispo,California,West,3.62,0.0,,1.19,,32.87,,
2016,San Francisco,California,West,29845.87,7.96,103.84,3857.57,40.85,12.92,0,0.0
2016,Riverside,California,West,1173.62,0.31,631.68,139.83,194.94,11.91,0,0.0
2016,Visalia,California,West,310.86,0.08,3825.0,84.56,2329.89,27.2,0,0.0
2016,San Jose,California,West,1704.7,0.45,117.02,382.26,76.66,22.42,0,0.0
2016,Concord,California,West,61.12,0.02,-90.91,22.16,-81.91,36.26,0,0.0
2016,Apple Valley,California,West,563.92,0.15,,7.05,,1.25,,
2016,,California,West,131551.91,35.08,48.74,20005.72,39.21,15.21,10,27.03
2016,Sacramento,California,West,387.09,0.1,425.44,55.42,132.86,14.32,0,0.0
2016,Oakland,California,West,589.68,0.16,-53.7,196.33,-3162.87,33.29,0,0.0
2016,Oceanside,California,West,12.9,0.0,-93.7,6.32,-88.12,48.99,0,0.0
2017,San Diego,California,West,5635.55,1.13,-69.24,760.45,-66.08,13.49,0,0.0
2017,Long Beach,California,West,2762.92,0.55,142.5,320.49,11.41,11.6,0,0.0
2017,Whittier,California,West,444.77,0.09,,44.48,,10.0,,
2017,Dublin,California,West,22.0,0.0,,1.38,,6.27,,
2017,Santa Barbara,California,West,358.6,0.07,-89.84,100.55,-74.33,28.04,0,0.0
2017,Huntington Beach,California,West,2495.88,0.5,19429.58,865.88,14958.78,34.69,0,0.0
2017,Inglewood,California,West,3479.33,0.7,,1026.7,,29.51,,
2017,Laguna Niguel,California,West,278.02,0.06,2045.22,35.63,461.1,12.82,0,0.0
2017,Mission Viejo,California,West,356.65,0.07,177.18,98.5,100.45,27.62,0,0.0
2017,San Mateo,California,West,75.18,0.02,,35.33,,46.99,,
2017,Sunnyvale,California,West,636.21,0.13,,107.51,,16.9,,
2017,Torrance,California,West,2011.9,0.4,79.57,501.16,1039.0,24.91,0,0.0
2017,Bakersfield,California,West,1075.4,0.21,1132.27,162.9,403.4,15.15,0,0.0
2017,Escondido,California,West,23.36,0.0,-67.19,6.07,-72.0,25.98,0,0.0
2017,,California,West,146388.34,29.26,11.28,29366.46,46.79,20.06,9,19.15
2017,Lancaster,California,West,17.46,0.0,-82.57,5.89,-83.2,33.73,0,0.0
2017,Manteca,California,West,314.55,0.06,128.55,150.98,610.49,48.0,0,0.0
2017,Sacramento,California,West,5325.88,1.06,1275.88,1938.38,3397.62,36.4,0,0.0
2017,Ontario,California,West,283.92,0.06,,-46.14,,-16.25,,
2017,Oceanside,California,West,282.11,0.06,2086.9,58.0,817.72,20.56,0,0.0
2017,Rancho Cucamonga,California,West,191.82,0.04,3230.21,59.96,2162.64,31.26,0,0.0
2017,Chico,California,West,753.11,0.15,-41.94,-14.04,-106.41,-1.86,0,0.0
2017,Oakland,California,West,3920.39,0.78,564.83,582.12,196.5,14.85,0,0.0
2017,Coachella,California,West,163.55,0.03,,47.17,,28.84,,
2017,Encinitas,California,West,286.49,0.06,-6.22,61.24,523.63,21.38,0,0.0
2017,Pomona,California,West,421.42,0.08,-55.28,123.64,-813.03,29.34,0,0.0
2017,Hesperia,California,West,436.7,0.09,-43.76,-38.21,-127.94,-8.75,0,0.0
2017,Citrus Heights,California,West,129.39,0.03,,54.34,,42.0,,
2017,San Francisco,California,West,37197.55,7.44,24.63,6617.95,71.56,17.79,0,0.0
2017,Brentwood,California,West,4229.93,0.85,5194.03,985.39,2702.59,23.3,0,0.0
2017,Apple Valley,California,West,1351.16,0.27,139.6,276.57,3822.98,20.47,0,0.0
2017,Concord,California,West,1869.38,0.37,2958.54,137.75,521.62,7.37,0,0.0
2017,Fresno,California,West,2295.9,0.46,170.57,383.57,36.02,16.71,0,0.0
2017,Woodland,California,West,24.68,0.0,-89.72,9.39,-60.88,38.05,0,0.0
2017,Modesto,California,West,326.15,0.07,,19.94,,6.11,,
2017,San Jose,California,West,1513.2,0.3,-11.23,357.17,-6.56,23.6,0,0.0
2017,Pico Rivera,California,West,145.9,0.03,,62.74,,43.0,,
2017,Santa Clara,California,West,10.56,0.0,-86.77,4.75,-79.1,44.98,0,0.0
2017,Westminster,California,West,3826.65,0.76,,763.69,,19.96,,
2017,Riverside,California,West,7.8,0.0,-99.34,2.11,-98.49,27.05,0,0.0
2017,Lakewood,California,West,962.65,0.19,273.84,-15.65,-164.56,-1.63,0,0.0
2017,La Mesa,California,West,367.53,0.07,,114.39,,31.12,,
2017,Camarillo,California,West,14.73,0.0,-98.99,7.22,-95.24,49.02,0,0.0
2017,Costa Mesa,California,West,782.21,0.16,13.98,121.15,-25.77,15.49,0,0.0
2017,Danville,California,West,1158.88,0.23,,282.44,,24.37,,
2017,Salinas,California,West,203.15,0.04,361.29,34.23,71.15,16.85,0,0.0
2017,Anaheim,California,West,2066.76,0.41,-41.51,542.25,44.25,26.24,0,0.0
2017,Lodi,California,West,97.3,0.02,145.21,28.22,73.45,29.0,0,0.0
2017,Thousand Oaks,California,West,190.07,0.04,290.05,83.65,414.45,44.01,0,0.0
2017,Pasadena,California,West,1756.16,0.35,67.45,218.97,-17.25,12.47,0,0.0
2017,Roseville,California,West,17.31,0.0,-97.48,5.19,-98.27,29.98,0,0.0
2017,Santa Ana,California,West,2024.66,0.4,57.52,746.93,908.68,36.89,0,0.0
2017,Stockton,California,West,738.44,0.15,50.96,148.0,-22.72,20.04,0,0.0
2017,Lake Forest,California,West,597.86,0.12,-41.82,171.79,10.31,28.73,0,0.0
2017,Los Angeles,California,West,48875.69,9.77,-13.34,10059.29,10.35,20.58,0,0.0
2017,Fairfield,California,West,1470.58,0.29,,117.98,,8.02,,
2017,Oxnard,California,West,82.95,0.02,-93.18,29.03,-88.77,35.0,0,0.0
2014,Thornton,Colorado,West,447.94,0.15,,89.59,,20.0,,
2014,Denver,Colorado,West,3392.45,1.15,,182.76,,5.39,,
2014,Aurora,Colorado,West,224.54,0.08,,67.75,,30.17,,
2014,Louisville,Colorado,West,1545.84,0.52,,102.13,,6.61,,
2014,Pueblo,Colorado,West,36.25,0.01,,-24.91,,-68.72,,
2014,,Colorado,West,6502.29,2.2,,438.19,,6.74,,
2014,Colorado Springs,Colorado,West,855.27,0.29,,20.87,,2.44,,
2015,,Colorado,West,4639.27,1.66,-28.65,-1141.07,-360.41,-24.6,0,0.0
2015,Pueblo,Colorado,West,849.14,0.3,2242.46,85.47,-443.12,10.07,0,0.0
2015,Louisville,Colorado,West,255.12,0.09,-83.5,17.84,-82.53,6.99,0,0.0
2015,Aurora,Colorado,West,895.95,0.32,299.02,-269.67,-498.04,-30.1,0,0.0
2015,Colorado Springs,Colorado,West,1442.35,0.52,68.64,-1100.01,-5370.77,-76.27,0,0.0
2015,Thornton,Colorado,West,10.94,0.0,-97.56,0.96,-98.93,8.78,0,0.0
2015,Denver,Colorado,West,1185.77,0.42,-65.05,124.35,-31.96,10.49,0,0.0
2016,Parker,Colorado,West,874.31,0.23,,33.04,,3.78,,
2016,Longmont,Colorado,West,915.09,0.24,,34.83,,3.81,,
2016,Pueblo,Colorado,West,801.55,0.21,-5.6,-961.53,-1224.99,-119.96,0,0.0
2016,Englewood,Colorado,West,124.06,0.03,,13.75,,11.08,,
2016,Broomfield,Colorado,West,793.5,0.21,,62.45,,7.87,,
2016,Littleton,Colorado,West,72.29,0.02,,-98.8,,-136.67,,
2016,Aurora,Colorado,West,2090.07,0.56,133.28,-542.83,101.29,-25.97,0,0.0
2016,Fort Collins,Colorado,West,98.33,0.03,,9.83,,10.0,,
2016,Arvada,Colorado,West,503.4,0.13,,59.86,,11.89,,
2016,Louisville,Colorado,West,230.09,0.06,-9.81,14.38,-19.39,6.25,0,0.0
2016,Denver,Colorado,West,2767.67,0.74,133.41,-136.57,-209.83,-4.93,0,0.0
2016,Colorado Springs,Colorado,West,1396.38,0.37,-3.19,122.46,-111.13,8.77,0,0.0
2016,,Colorado,West,10666.74,2.84,129.92,-1389.13,21.74,-13.02,6,100.0
2017,Fort Collins,Colorado,West,836.92,0.17,751.13,-262.53,-2770.7,-31.37,0,0.0
2017,Thornton,Colorado,West,306.36,0.06,2700.37,50.29,5138.54,16.42,0,0.0
2017,Commerce City,Colorado,West,146.35,0.03,,-32.93,,-22.5,,
2017,Denver,Colorado,West,4852.9,0.97,75.34,-415.47,204.22,-8.56,0,0.0
2017,Greeley,Colorado,West,30.35,0.01,,10.36,,34.14,,
2017,Loveland,Colorado,West,20.96,0.0,,4.48,,21.37,,
2017,Aurora,Colorado,West,872.95,0.17,-58.23,-52.27,-90.37,-5.99,0,0.0
2017,Louisville,Colorado,West,3039.37,0.61,1220.95,-3540.56,-24721.42,-116.49,0,0.0
2017,Parker,Colorado,West,193.63,0.04,-77.85,-197.23,-696.94,-101.86,0,0.0
2017,,Colorado,West,10299.81,2.06,-3.44,-4435.85,219.33,-43.07,-3,-25.0
2014,Fairfield,Connecticut,East,951.31,0.37,,287.83,,30.26,,
2014,Meriden,Connecticut,East,1238.78,0.48,,325.14,,26.25,,
2014,Bristol,Connecticut,East,576.47,0.22,,122.48,,21.25,,
2014,Middletown,Connecticut,East,27.46,0.01,,9.89,,36.02,,
2014,,Connecticut,East,2794.02,1.09,,745.33,,26.68,,
2015,Meriden,Connecticut,East,63.14,0.02,-94.9,28.39,-91.27,44.96,0,0.0
2015,Manchester,Connecticut,East,93.79,0.03,,24.15,,25.75,,
2015,Norwich,Connecticut,East,392.34,0.13,,153.46,,39.11,,
2015,Fairfield,Connecticut,East,470.36,0.15,-50.56,122.29,-57.51,26.0,0,0.0
2015,Bristol,Connecticut,East,238.11,0.08,-58.7,85.68,-30.05,35.98,0,0.0
2015,Middletown,Connecticut,East,26.9,0.01,-2.04,13.18,33.27,49.0,0,0.0
2015,,Connecticut,East,1284.64,0.41,-54.02,427.15,-42.69,33.25,2,50.0
2016,Shelton,Connecticut,East,73.33,0.02,,21.41,,29.2,,
2016,Middletown,Connecticut,East,600.72,0.17,2133.16,22.15,68.06,3.69,0,0.0
2016,Milford,Connecticut,East,267.07,0.07,,117.26,,43.91,,
2016,,Connecticut,East,3998.49,1.11,211.25,859.25,101.16,21.49,1,16.67
2016,Norwich,Connecticut,East,11.34,0.0,-97.11,5.56,-96.38,49.03,0,0.0
2016,Manchester,Connecticut,East,1179.27,0.33,1157.35,311.35,1189.23,26.4,0,0.0
2016,Fairfield,Connecticut,East,1028.96,0.28,118.76,178.76,46.18,17.37,0,0.0
2016,Waterbury,Connecticut,East,837.8,0.23,,202.77,,24.2,,
2017,Manchester,Connecticut,East,853.22,0.2,-27.65,265.01,-14.88,31.06,0,0.0
2017,,Connecticut,East,5307.21,1.25,32.73,1479.76,72.22,27.88,1,14.29
2017,Fairfield,Connecticut,East,2484.95,0.58,141.5,632.74,253.96,25.46,0,0.0
2017,Danbury,Connecticut,East,27.46,0.01,,9.89,,36.02,,
2017,Milford,Connecticut,East,694.67,0.16,160.11,201.79,72.09,29.05,0,0.0
2017,Norwich,Connecticut,East,10.36,0.0,-8.64,5.08,-8.63,49.03,0,0.0
2017,Meriden,Connecticut,East,248.76,0.06,293.98,116.7,311.06,46.91,0,0.0
2017,Middletown,Connecticut,East,499.53,0.12,-16.84,112.4,407.45,22.5,0,0.0
2017,Waterbury,Connecticut,East,488.26,0.11,-41.72,136.16,-32.85,27.89,0,0.0
2014,Dover,Delaware,East,74.26,0.03,,26.65,,35.89,,
2014,Newark,Delaware,East,3440.35,1.34,,958.33,,27.86,,
2014,Wilmington,Delaware,East,1271.42,0.49,,353.61,,27.81,,
2014,,Delaware,East,4786.03,1.86,,1338.59,,27.97,,
2015,,Delaware,East,6190.34,1.98,29.34,1608.87,20.19,25.99,0,0.0
